date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
10-Aug,3,Z30,5,7,303,10,6,NA,NA,NA,NA,NA,,0,0,0
12-Aug,2,Z30,5,8,303,10,7,76.16299435,NA,NA,NA,NA,,1,0,0.2
13-Aug,2,Z30,5,8,303,10,8,NA,NA,NA,NA,NA,,0,0,0
18-Aug,20,Z30,5,10,303,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,28,Z30,5,11,303,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,24,Z30,5,14,303,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,11,Z30,5,15,303,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,27,Z30,5,11,303,10,7,NA,NA,NA,NA,NA,,0,0,0
8=17,30,Z30,5,7,303,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.04
18-Aug,21,Z30,5,10,304,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,29,Z30,5,11,304,10,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,14,Z30,5,12,304,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,4,Z30,5,14,304,10,8,NA,NA,NA,NA,NA,,0,0,0
8=01,3,Z30,5,17,304,10,4,NA,NA,NA,NA,NA,,0,0,0
8=05,12,Z30,5,15,304,10,4,82.52542373,NA,NA,NA,NA,,1,0,0.2
8=15,28,Z30,5,11,304,10,7,NA,NA,NA,NA,NA,,0,0,0
8=19,3,Z30,5,5,304,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,sum,,,,,,,,0,1,0,0.025
,,,,,sumsq,,,,,,,,,,0,0.04
7-Aug,11,Z30,5,6,306,10,4,NA,NA,NA,NA,NA,,0,0,0
10-Aug,5,Z30,5,7,306,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,4,Z30,5,8,306,10,7,NA,NA,NA,NA,NA,,0,0,0
18-Aug,22,Z30,5,10,306,10,5,NA,NA,NA,NA,NA,,0,0,0
21-Aug,15,Z30,5,12,306,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,25,Z30,5,14,306,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,2,Z30,5,15,306,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,6,Z30,5,11,306,10,7,NA,NA,NA,NA,NA,,0,0,0
8=17,5,Z30,5,7,306,10,5,87.42372881,NA,NA,NA,NA,,1,0,0.2
8=19,4,Z30,5,5,306,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.04
18-Aug,2,Z30,5,10,307,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,2,Z30,5,11,307,10,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,2,Z30,5,12,307,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,5,Z30,5,14,307,10,8,NA,NA,NA,NA,NA,,0,0,0
8=01,4,Z30,5,17,307,10,3,NA,NA,NA,NA,NA,,0,0,0
8=05,3,Z30,5,15,307,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,3,Z30,5,11,307,10,7,NA,NA,NA,NA,NA,,0,0,0
8=17,1,Z30,5,7,307,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,1,Z30,5,5,307,10,7,NA,NA,NA,NA,NA,,0,0,0
8=22,2,Z30,5,7,307,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8031,6,Z30,5,6,309,10,4,82.43333333,NA,NA,NA,NA,,1,0,0.2
3-Aug,38,Z30,5,6,309,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,17,Z30,5,8,309,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
